"","Legal.Name","Center.Name","Building","Street","Borough","ZipCode","Phone","Age.Range","Program.Type","Child.Care.Type","Violation.Rate.Percent","Average.Violation.Rate.Percent","lessThanAve","noViolation","longitude","latitude"
"40","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9493483743051,40.715844739587
"41","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9495387132491,40.715826927331
"42","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.870544571997,40.666165811057
"43","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9817884838248,40.681034091568
"44","A2Z Happyland II, LLC","A2Z Happyland II, LLC","2148","OCEAN AVENUE","BROOKLYN",11229,"718-998-7744","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9193951296268,40.683913375478
"45","AARON SCHOOL","AARON SCHOOL","309","EAST   45 STREET","MANHATTAN",10017,"212-867-9594","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",100,41.6124,0,0,-73.9698586551586,40.752064704896
"46","ABC 123 DAYCARE LLC","VANGUARD  ACADEMY DAYCARE","498","SOUTHERN BOULEVARD","BRONX",10455,"718-328-1234","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-73.9051159290004,40.811115295799
"47","ABC CHILD CENTER,INC","ABC CHILD CENTER","109","NASSAU AVENUE","BROOKLYN",11222,"718-389-9004","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",22.2222,33.2035,1,0,-73.9496033672224,40.724390970971
"48","ABC EARLY LEARNING CENTER INC.","ABC EARLY LEARNING CENTER","54-25","LITTLE NECK PKWY","QUEENS",11362,"718-225-8044","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",42.8571,33.2035,0,0,-73.7251276595049,40.766874234654
"49","ABC INFANT & TODDLER CENTER,INC.","ABC INFANT & TODDLER CENTER","109","NASSAU AVENUE","BROOKLYN",11222,"718-389-9004","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",28.5714,30.9077,1,0,-73.9496033672224,40.724390970971
"50","ABC KIDDIELAND, INC","ABC KIDDIELAND, INC","65-21","ROOSEVELT AVE","QUEENS",11377,"718-651-3551","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",33.3333,33.2035,0,0,-73.8982253712744,40.746269940811
"51","ABC KIDDIELAND,INC.","ABC KIDDIELAND,INC.","67-05","ROOSEVELT AVENUE","QUEENS",11377,"718-651-3551","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",16.6667,33.2035,1,0,-73.8978036860561,40.746335714171
"52","ABC LITTLE STAR INC.","ABC LITTLE STAR, INC.","2345","85 STREET","BROOKLYN",11214,"718-265-0156","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9894890350943,40.600699376444
"53","ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.","ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.","66-20","LAUREL HILL BOULEVARD","QUEENS",11377,"718-672-2424","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",25,33.2035,1,0,-73.8979897866465,40.739445703726
"54","ABC PRESCHOOL & KINDERGARTEN CENTER, CORP","ABC PRESCHOOL & KINDERGARTEN CENTER","66-26","LAUREL HILL BOULEVARD","QUEENS",11377,"718-672-2424","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",28.5714,33.2035,1,0,-73.8979897866465,40.739445703726
"55","ABC THERAPIES ,SLP,OT,PT,PSYCHOLOGY & CHIROPRACTIC, PLLC/KIDS TIME DAY CARE, INC.","KIDS TIME DC,INC","42-75","65 PLACE","QUEENS",11377,"718-429-2000","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",80,33.2035,0,0,-73.8992483860764,40.741557419102
"56","ACAD OF LITTLE LEADERS DAYCARE INC","ACAD OF LITTLE LEADERS DAYCARE, INC","145-88","GUY R. BREWER BLVD","QUEENS",11434,"718-949-4742","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",33.3333,33.2035,0,0,-73.7686389222932,40.663701690027
"57","ACAD OF LITTLE LEADERS DAYCARE,INC","ACAD OF LITTLE LEADERS DAYCARE, INC","145-88","GUY R. BREWER BOULEVARD","QUEENS",11434,"718-949-4742","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",0,30.9077,1,1,-73.7686389222932,40.663701690027
"58","ACADEMY OF ST. DOROTHY","ACADEMY OF ST. DOROTHY SCHOOL","1305","HYLAN BOULEVARD","STATEN ISLAND",10305,"718-351-0939","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",66.6667,41.6124,0,0,-74.086442209912,0.59759785732653
"59","ACH TOV VCHESED","ACH TOV VCHESED","27","SKILLMAN STREET","BROOKLYN",11205,"718-384-1652","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-73.9572929645702,40.697762541125
"60","ADAPTIVE SOLUTIONS MULTI SERVICES(Speech language pathology, physical therapy, occupational therapy, psychology) PLLC","ADAPTIVE SOLUTIONS MULTI SERVICES(Speech language pathology, physical therapy, occupational therapy, psychology) PLLC","756","MYRTLE AVENUE","BROOKLYN",11206,"718-483-9553","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",100,33.2035,0,0,-73.9516385305269,40.69471944573
"61","ADDIE MAE COLLINS COMMUNITY SERVICE, INC.","ADDIE MAE COLLINS COMMUNITY SERVICES, INC.","110","EAST 129 STREET","MANHATTAN",10035,"212-831-9220","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",33.3333,33.2035,0,0,-73.9422157396815,40.787020641763
"62","ADDIE MAE COLLINS COMMUNITY SERVICES INC.","ADDIE MAE COLLINS COMMUNITY SERVICES INC.","2322","THIRD AVE","MANHATTAN",10035,"212-831-3144","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-73.9354871641868,40.8050961133039
"63","ADDIE MAE COLLINS COMMUNITY SERVICES, INC.","ADDIE MAE COLLINS COMMUNITY SERVICES, INC.","345","EAST 101 STREET","MANHATTAN",10029,"212-831-6407","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",40,33.2035,0,0,-73.9422157396815,40.787020641763
"64","ADELPHI ACADEMY,INC","ADELPHI ACADEMY OF BROOKLYN","8515","RIDGE BLVD","BROOKLYN",11209,"718-238-3308","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",0,41.6124,1,1,-74.0332340445734,40.624797542689
"65","ADVENTURELAND CHILD CARE CENTER INC.","ADVENTURELAND CHILD CARE CENTER INC.","41-31","58 STREET","QUEENS",11377,"718-274-4769","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",14.2857,30.9077,1,0,-73.9225851715162,40.763654637395
"66","Adventureland Child Care Center, Inc.","Adventureland Child Care Center, Inc.","32-04","31ST AVENUE","QUEENS",11106,"718-777-2011","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9225851715162,40.763654637395
"67","Ahi Ezer Congregation","AHI EZER EARLY CHILDHOOD CORP.","2433","OCEAN PARKWAY","BROOKLYN",11235,"718-648-6100","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",42.8571,33.2035,0,0,-73.9644912903354,40.590277341456
"68","AHI EZER YESHIVA","AHI EZER PRESCHOOL","2433","OCEAN PARKWAY","BROOKLYN",11235,"718-648-6100","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",33.3333,41.6124,1,0,-73.9644912903354,40.590277341456
"69","AIM HIGH CHILDREN'S SERVICES","AIM HIGH CHILDREN'S SERVICES","83","MARLBOROUGH ROAD","BROOKLYN",11226,"718-509-0630","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",60,33.2035,0,0,-73.9653576488075,40.648078435846
"70","Aim High Leadership Center Three, Inc.","AIM HIGH LEADERSHIP CENTER, THREE INC","133-13","ROCKAWAY BOULEVARD","QUEENS",11420,"516-978-1347","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.8047821493488,40.674794317964
"71","AL MADINAH SCHOOL INC.","AL MADINAH SCHOOL","2015","64 STREET","BROOKLYN",11204,"718-222-4986","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",100,41.6124,0,0,-73.9843699635737,40.616804161124
"72","AL MADINAH SCHOOL, INC","AL MADINAH SCHOOL","18-24","ASTORIA BLVD","QUEENS",11102,"718-222-4986","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-73.9843699635737,40.616804161124
"73","AL-BER INC.","ELBER ISLAMIC SCHOOL","25-42","49 STREET","QUEENS",11103,"917-362-1130","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",40,41.6124,1,0,-73.9054068948366,40.763643883023
"74","AL-IHSAN ACADEMY","AL-ISHAN PRESCHOOL","134-02","ROCKAWAY BOULEVARD","QUEENS",11420,"718-322-3154","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",0,41.6124,1,1,-73.8043452646435,40.674303005602
"75","AL-IMAN SCHOOL","AL-IMAN SCHOOL","137-11","90 AVENUE","QUEENS",11435,"718-297-6520","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",33.3333,41.6124,1,0,-73.8149527320028,40.701315236576
"76","AL-MADINAH SCHOOL","AL-MADINAH","383","THIRD AVENUE","BROOKLYN",11215,"718-222-4986","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",0,41.6124,1,1,-73.9880387437647,40.674296071198
"77","AL-MAMOOR SCHOOL","AL-MAMOOR PRESCHOOL","78-31","PARSONS BLVD","QUEENS",11366,"718-739-0902","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-73.8090666643635,40.721389726844
"78","ALBANIAN ISLAMIC AND CULTURAL CENTER","ALBANIAN ISLAMIC AND CULTURAL PRESCHOOL","307","VICTORY BLVD.","STATEN ISLAND",10301,"718-816-6161","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-74.0857024497229,40.634864199236
"79","ALEPH BET NY, INC.","ALEPH BET NY, INC.","133-135","EAST 29TH STREET","MANHATTAN",10016,"917-750-8720","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",60,33.2035,0,0,-73.9813300799308,40.74327794552
"80","ALEPH BET TODDLER CARE, INC.","ALEPH BET  TODDLER CARE INC","84-75","DANIELS STREET","QUEENS",11435,"917-209-5595","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",57.1429,33.2035,0,0,-73.8141923276175,40.711628711265
"81","ALEX,JANELLE & SORAYA, INCORPORATED","SMILING FACES CHRISTIAN DAY CARE CENTER II","381","MYRTLE AVENUE","BROOKLYN",11205,"718-852-7020","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",33.3333,33.2035,0,0,-73.9706349989826,40.693414523835
"82","ALEXAMAR INC","THERE IS NO PLACE LIKE HOME DAYCARE","12-18","154 STREET","QUEENS",11357,"718-746-0834","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",60,33.2035,0,0,-73.8076283268311,40.79104077339
"83","ALL CHILDRENS CHILD CARE CENTER OF QUEENS, INC.","ALL CHILDRENS CHILD CARE CENTER OF QUEENS, INC.","35-01","24 STREET","QUEENS",11106,"718-707-0501","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",0,30.9077,1,1,-73.9327391265828,40.759854314845
"84","ALL IN ONE KIDS, INC.","ALL IN ONE KIDS, INC.","67-45","215 STREET","QUEENS",11364,"929-331-4000","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",60,33.2035,0,0,-73.7598142034331,40.7423428271449
"85","ALL MY CHILDREN DAY CARE & NURSERY SCHOOL","ALL MY  CHILDREN DAY CARE & NURSERY SCHOOL","108-22","69 AVENUE","QUEENS",11375,"718-658-1563","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",75,30.9077,0,0,-73.8445821568463,40.7250024591148
"86","ALL MY CHILDREN DAY CARE & NURSERY SCHOOL INC.","ALL MY CHILDREN DAY CARE &NURSERY SCHOOL INC.","66-05","108 STREET","QUEENS",11375,"718-275-0731","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",16.6667,33.2035,1,0,-73.8477777793908,40.730295897099
"87","ALL MY CHILDREN DAY CARE & NURSERY, INC.","ALL MY CHILDREN DAY CARE & NURSERY SCHOOL","83-10","188 STREET","QUEENS",11423,"718-454-5600","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.8595123310555,40.728740835092
"88","ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL","ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL","771","CROWN STREET","BROOKLYN",11213,"718-756-8300","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",33.3333,30.9077,0,0,-73.8445821568463,40.7250024591148
"89","ALL MY CHILDREN DAY CARE,INC","ALL MY CHILDREN DAY CARE","175-44","MAYFIELD ROAD","QUEENS",11432,"718-658-1563","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",60,30.9077,0,0,-73.7892951495107,40.7168294258549
"90","ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL","ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL","101","WEST 85 STREET","MANHATTAN",10024,"646-861-0664","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",12.5,33.2035,1,0,-73.9729725541966,40.786262410292
"91","ALL MY CHILDREN LEARNING CENTER INC","ALL MY CHILDREN LEARNING CENTER INC","108-05","68TH RD","QUEENS",11375,"718-575-8800","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",60,33.2035,0,0,-73.8458831883894,40.726653391854
"92","All My Stars Day Care Inc","All My Stars Day Care Inc","72-34","Main  Street","QUEENS",11367,"888-831-1230","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.8215314458525,40.725615088614
"93","ALL SEASONS A & C DAY CARE LLC","ALL SEASONS A & C DAY CARE","700","ROSEWOOD STREET","BRONX",10467,"718-231-7200","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",33.3333,30.9077,0,0,-73.866458669647,40.873075183898
"94","ALL SEASONS ABC  DAY CARE, LLC","ALL SEASONS ABC  DAY CARE, LLC","190","East 162St","BRONX",10451,"718-410-9200","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",25,33.2035,1,0,-73.9209750708443,40.8269390426872
"95","ALL SEASONS DAY CARE, LLC","ALL SEASONS DAY CARE, LLC","1701","NEREID AVENUE","BRONX",10466,"718-324-8300","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.8520513019182,40.89804688617
"96","ALL SOULS SCHOOL","ALL SOULS SCHOOL","1157","LEXINGTON AVENUE","MANHATTAN",10075,"212-861-5232","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",16.6667,33.2035,1,0,-73.9579469860297,40.7753593740921
"97","ALLEN CHRISTIAN SCHOOL","ALLEN CHRISTIAN PRESCHOOL","114-32","MERRICK BOULEVARD","QUEENS",11434,"718-657-2500","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",0,41.6124,1,1,-73.778966354708,40.690795600407
"98","ALONZO A. DAUGHTRY MEMORIAL DAY CARE CENTER","ALONZO A. DAUGHTRY MEMORIAL DAY CARE","565","BALTIC STREET","BROOKLYN",11217,"718-596-1993","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",16.6667,33.2035,1,0,-73.9827928025482,40.682023873415
"99","ALPHA FUNDEMENTAL PRESCHOOL INC.","ALPHA FUNDEMENTAL PRESCHOOL INC.","218-28","HEMPSTEAD AVENUE","QUEENS",11429,"718-740-1010","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",28.5714,33.2035,1,0,-73.7372334230017,40.713380372669
"100","ALPHA KAPPA ALPHA SORORITY EPSILON PI OMEGA CHAPTER DAY CARE CENTER, INC","ALPHA KAPPA ALPHA SORORITY EPSILON PI OMEGA DAY CARE CENTER, INC.","144-06","ROCKAWAY BOULEVARD","QUEENS",11436,"718-322-6242","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",100,33.2035,0,0,-73.7943965796118,40.673536195038
